tile_id,bm_patch,dmsp_patch,longitude,latitude,date,f_number,correlation,valid_fraction,dmsp_source_key
tile_011,Raw_NL_Data\bm\tile_011.tif,Raw_NL_Data\dmsp\tile_011.tif,28.30416666658337,-29.537500000024167,2014-02-06,F15,0.4316694092819518,1.0,F152014/F15201402060035.night.OIS.vis.co.tif
tile_004,Raw_NL_Data\bm\tile_004.tif,Raw_NL_Data\dmsp\tile_004.tif,-106.46250000002941,63.42916666660531,2012-04-02,F18,-0.14794634218516975,0.576532,F182012/F18201204020234.night.OIS.vis.co.tif
tile_008,Raw_NL_Data\bm\tile_008.tif,Raw_NL_Data\dmsp\tile_008.tif,-58.52916666671524,52.32916666660975,2016-09-08,F15,0.14136700082650586,1.0,F152016/F15201609080606.night.OIS.vis.co.tif
tile_005,Raw_NL_Data\bm\tile_005.tif,Raw_NL_Data\dmsp\tile_005.tif,151.5041666665341,66.0624999999376,2013-03-03,F15,0.11507113417373069,0.30632,F152013/F15201303032227.night.OIS.vis.co.tif
tile_006,Raw_NL_Data\bm\tile_006.tif,Raw_NL_Data\dmsp\tile_006.tif,104.80416666655276,55.82916666660836,2017-12-22,F15,0.31429676515191934,0.240212,F152017/F15201712222226.night.OIS.vis.co.tif
tile_002,Raw_NL_Data\bm\tile_002.tif,Raw_NL_Data\dmsp\tile_002.tif,-115.32916666669253,70.69583333326908,2013-11-13,F15,0.267236174802649,1.0,F152013/F15201311131614.night.OIS.vis.co.tif
tile_020,Raw_NL_Data\bm\tile_020.tif,Raw_NL_Data\dmsp\tile_020.tif,13.204166666589401,14.395833333291591,2012-11-02,F18,0.06476272304664675,1.0,F182012/F18201211021833.night.OIS.vis.co.tif
tile_013,Raw_NL_Data\bm\tile_013.tif,Raw_NL_Data\dmsp\tile_013.tif,19.704166666586815,-2.7041666667015676,2013-04-28,F15,0.15076757081566597,1.0,F152013/F15201304280105.night.OIS.vis.co.tif
tile_045,Raw_NL_Data\bm\tile_045.tif,Raw_NL_Data\dmsp\tile_045.tif,115.73749999988172,25.729166666620394,2015-12-16,F15,0.43409963673106866,1.0,F152015/F15201512161810.night.OIS.vis.co.tif
tile_033,Raw_NL_Data\bm\tile_033.tif,Raw_NL_Data\dmsp\tile_033.tif,-4.429166666736876,38.66249999994855,2015-05-27,F15,0.28035981803793075,1.0,F152015/F15201505270317.night.OIS.vis.co.tif
tile_023,Raw_NL_Data\bm\tile_023.tif,Raw_NL_Data\dmsp\tile_023.tif,-37.96250000005679,-4.8041666667007235,2013-05-01,F18,-0.0016489536203637145,1.0,F182013/F18201305012213.night.OIS.vis.co.tif
tile_030,Raw_NL_Data\bm\tile_030.tif,Raw_NL_Data\dmsp\tile_030.tif,14.904166666588736,59.5624999999402,2016-01-13,F15,0.395162505433797,1.0,F152016/F15201601130353.night.OIS.vis.co.tif
tile_043,Raw_NL_Data\bm\tile_043.tif,Raw_NL_Data\dmsp\tile_043.tif,77.33749999989709,16.762499999957313,2012-08-07,F18,0.02718951954471073,1.0,F182012/F18201208071359.night.OIS.vis.co.tif
tile_044,Raw_NL_Data\bm\tile_044.tif,Raw_NL_Data\dmsp\tile_044.tif,105.77083333321906,15.195833333291276,2017-06-28,F15,0.35378340441603745,1.0,F152017/F15201706281914.night.OIS.vis.co.tif
tile_024,Raw_NL_Data\bm\tile_024.tif,Raw_NL_Data\dmsp\tile_024.tif,19.60416666658685,50.562499999943796,2016-05-02,F15,0.6643053676220745,1.0,F152016/F15201605020145.night.OIS.vis.co.tif
tile_032,Raw_NL_Data\bm\tile_032.tif,Raw_NL_Data\dmsp\tile_032.tif,81.20416666656223,17.462499999957032,2013-09-09,F15,0.0657250436106458,1.0,F152013/F15201309092140.night.OIS.vis.co.tif
tile_039,Raw_NL_Data\bm\tile_039.tif,Raw_NL_Data\dmsp\tile_039.tif,-74.19583333337565,-13.537500000030576,2017-03-05,F16,0.00047640592617906324,1.0,F162017/F16201703050733.night.OIS.vis.co.tif
tile_046,Raw_NL_Data\bm\tile_046.tif,Raw_NL_Data\dmsp\tile_046.tif,72.03749999989921,23.79583333328783,2015-10-01,F15,0.3926936044899682,1.0,F152015/F15201510012141.night.OIS.vis.co.tif
tile_042,Raw_NL_Data\bm\tile_042.tif,Raw_NL_Data\dmsp\tile_042.tif,-76.39583333337477,43.329166666613354,2016-11-23,F16,0.6116225037089297,1.0,F162016/F16201611230929.night.OIS.vis.co.tif
tile_025,Raw_NL_Data\bm\tile_025.tif,Raw_NL_Data\dmsp\tile_025.tif,-9.662500000068121,10.395833333293197,2012-08-31,F15,0.030944737104639203,1.0,F152012/F15201208310450.night.OIS.vis.co.tif
tile_052,Raw_NL_Data\bm\tile_052.tif,Raw_NL_Data\dmsp\tile_052.tif,75.47083333323118,23.595833333287914,2012-06-04,F18,0.38221864704408365,0.847896,F182012/F18201206041507.night.OIS.vis.co.tif
tile_051,Raw_NL_Data\bm\tile_051.tif,Raw_NL_Data\dmsp\tile_051.tif,76.57083333323072,27.39583333328639,2016-08-10,F16,0.5087683557579975,1.0,F162016/F16201608102245.night.OIS.vis.co.tif
tile_028,Raw_NL_Data\bm\tile_028.tif,Raw_NL_Data\dmsp\tile_028.tif,37.27083333324646,50.662499999943755,2013-01-22,F15,0.33378984180518084,1.0,F152013/F15201301220040.night.OIS.vis.co.tif
tile_022,Raw_NL_Data\bm\tile_022.tif,Raw_NL_Data\dmsp\tile_022.tif,31.20416666658221,-11.337500000031454,2012-03-08,F15,0.009127156304172006,1.0,F152012/F15201203080145.night.OIS.vis.co.tif
tile_054,Raw_NL_Data\bm\tile_054.tif,Raw_NL_Data\dmsp\tile_054.tif,30.004166666582677,-22.30416666669373,2014-11-09,F15,0.17314721839073718,1.0,F152014/F15201411092358.night.OIS.vis.co.tif
tile_040,Raw_NL_Data\bm\tile_040.tif,Raw_NL_Data\dmsp\tile_040.tif,41.904166666577936,43.96249999994644,2013-03-24,F18,0.08470370784298846,1.0,F182013/F18201303241630.night.OIS.vis.co.tif
tile_053,Raw_NL_Data\bm\tile_053.tif,Raw_NL_Data\dmsp\tile_053.tif,76.40416666656415,20.39583333328919,2014-05-09,F15,-0.08239220574429422,1.0,F152014/F15201405092212.night.OIS.vis.co.tif
tile_031,Raw_NL_Data\bm\tile_031.tif,Raw_NL_Data\dmsp\tile_031.tif,-52.06250000005116,-28.404166666691296,2012-11-25,F15,0.1624580116172525,1.0,F152012/F15201211250544.night.OIS.vis.co.tif
tile_037,Raw_NL_Data\bm\tile_037.tif,Raw_NL_Data\dmsp\tile_037.tif,26.137499999917566,48.095833333278115,2012-01-31,F15,0.4353615968876442,1.0,F152012/F15201201310252.night.OIS.vis.co.tif
tile_063,Raw_NL_Data\bm\tile_063.tif,Raw_NL_Data\dmsp\tile_063.tif,87.13749999989318,26.46249999995343,2012-06-21,F15,0.16417284917582525,1.0,F152012/F15201206212153.night.OIS.vis.co.tif
tile_056,Raw_NL_Data\bm\tile_056.tif,Raw_NL_Data\dmsp\tile_056.tif,112.53749999988304,29.662499999952153,2014-11-10,F15,0.24394519734060924,1.0,F152014/F15201411101837.night.OIS.vis.co.tif
tile_055,Raw_NL_Data\bm\tile_055.tif,Raw_NL_Data\dmsp\tile_055.tif,100.13749999988795,14.129166666625025,2015-02-07,F15,0.6903968280055263,1.0,F152015/F15201502072020.night.OIS.vis.co.tif
tile_059,Raw_NL_Data\bm\tile_059.tif,Raw_NL_Data\dmsp\tile_059.tif,66.43749999990146,39.96249999994804,2015-03-28,F15,0.006741278356600648,1.0,F152015/F15201503282237.night.OIS.vis.co.tif
tile_049,Raw_NL_Data\bm\tile_049.tif,Raw_NL_Data\dmsp\tile_049.tif,17.070833333254512,40.829166666614356,2012-02-20,F15,0.41212412445766533,1.0,F152012/F15201202200246.night.OIS.vis.co.tif
tile_061,Raw_NL_Data\bm\tile_061.tif,Raw_NL_Data\dmsp\tile_061.tif,116.60416666654805,32.66249999995095,2017-05-29,F16,0.4606932586907649,1.0,F162017/F16201705291937.night.OIS.vis.co.tif
tile_041,Raw_NL_Data\bm\tile_041.tif,Raw_NL_Data\dmsp\tile_041.tif,33.537499999914616,0.12916666663062415,2013-04-07,F15,0.19986166147645115,1.0,F152013/F15201304070128.night.OIS.vis.co.tif
tile_048,Raw_NL_Data\bm\tile_048.tif,Raw_NL_Data\dmsp\tile_048.tif,83.7041666665612,19.162499999956353,2017-06-05,F15,0.08126736641122573,1.0,F152017/F15201706052200.night.OIS.vis.co.tif
tile_036,Raw_NL_Data\bm\tile_036.tif,Raw_NL_Data\dmsp\tile_036.tif,-77.9625000000408,-10.53750000003177,2014-08-21,F15,0.10581533233700958,1.0,F152014/F15201408210807.night.OIS.vis.co.tif
tile_038,Raw_NL_Data\bm\tile_038.tif,Raw_NL_Data\dmsp\tile_038.tif,1.7374999999273086,49.99583333327735,2016-03-30,F16,0.5869158508004573,1.0,F162016/F16201603300426.night.OIS.vis.co.tif
tile_072,Raw_NL_Data\bm\tile_072.tif,Raw_NL_Data\dmsp\tile_072.tif,-117.09583333335848,32.69583333328428,2012-07-16,F15,0.7611598997178742,1.0,F152012/F15201207161154.night.OIS.vis.co.tif
tile_060,Raw_NL_Data\bm\tile_060.tif,Raw_NL_Data\dmsp\tile_060.tif,9.770833333257457,45.195833333279275,2017-09-09,F16,0.4981070398054777,1.0,F162017/F16201709090338.night.OIS.vis.co.tif
tile_047,Raw_NL_Data\bm\tile_047.tif,Raw_NL_Data\dmsp\tile_047.tif,11.73749999992333,46.562499999945395,2017-02-02,F15,0.5657611238188494,1.0,F152017/F15201702020210.night.OIS.vis.co.tif
tile_057,Raw_NL_Data\bm\tile_057.tif,Raw_NL_Data\dmsp\tile_057.tif,115.77083333321508,28.429166666619317,2016-12-14,F16,0.10363878394712112,1.0,F162016/F16201612142008.night.OIS.vis.co.tif
tile_065,Raw_NL_Data\bm\tile_065.tif,Raw_NL_Data\dmsp\tile_065.tif,79.43749999989626,12.562499999958987,2015-02-28,F15,0.035510953972584636,1.0,F152015/F15201502282133.night.OIS.vis.co.tif
tile_073,Raw_NL_Data\bm\tile_073.tif,Raw_NL_Data\dmsp\tile_073.tif,74.17083333323168,17.29583333329043,2012-03-15,F15,0.02541361852506761,0.316618,F152012/F15201203152159.night.OIS.vis.co.tif
tile_067,Raw_NL_Data\bm\tile_067.tif,Raw_NL_Data\dmsp\tile_067.tif,104.27083333321963,1.3624999999634753,2012-02-18,F15,0.5988085098610857,1.0,F152012/F15201202182014.night.OIS.vis.co.tif
tile_058,Raw_NL_Data\bm\tile_058.tif,Raw_NL_Data\dmsp\tile_058.tif,109.73749999988411,34.929166666616716,2012-11-26,F15,0.6173793060383127,1.0,F152012/F15201211262043.night.OIS.vis.co.tif
tile_081,Raw_NL_Data\bm\tile_081.tif,Raw_NL_Data\dmsp\tile_081.tif,6.570833333258719,12.595833333292305,2013-07-05,F18,0.4004387698216297,1.0,F182013/F18201307051902.night.OIS.vis.co.tif
tile_068,Raw_NL_Data\bm\tile_068.tif,Raw_NL_Data\dmsp\tile_068.tif,2.9374999999268425,6.695833333294672,2013-02-26,F18,0.19590054713438018,0.737684,F182013/F18201302261831.night.OIS.vis.co.tif
tile_064,Raw_NL_Data\bm\tile_064.tif,Raw_NL_Data\dmsp\tile_064.tif,105.20416666655262,28.92916666661911,2017-11-14,F16,0.6915469731684235,1.0,F162017/F16201711142110.night.OIS.vis.co.tif
tile_076,Raw_NL_Data\bm\tile_076.tif,Raw_NL_Data\dmsp\tile_076.tif,137.0374999998732,35.029166666616675,2012-12-30,F18,0.43909759966011214,1.0,F182012/F18201212301008.night.OIS.vis.co.tif
tile_069,Raw_NL_Data\bm\tile_069.tif,Raw_NL_Data\dmsp\tile_069.tif,77.77083333323026,30.062499999951996,2012-09-18,F15,0.6867787420890459,1.0,F152012/F15201209182206.night.OIS.vis.co.tif
tile_079,Raw_NL_Data\bm\tile_079.tif,Raw_NL_Data\dmsp\tile_079.tif,-83.22916666670537,42.39583333328039,2016-09-24,F16,0.5792601716499605,1.0,F162016/F16201609240919.night.OIS.vis.co.tif
tile_062,Raw_NL_Data\bm\tile_062.tif,Raw_NL_Data\dmsp\tile_062.tif,111.53749999988344,-7.437500000033012,2017-10-23,F16,0.5204523690345658,1.0,F162017/F16201710231916.night.OIS.vis.co.tif
